@RELATION turismo_cartagena_sin_planea_regresar

@ATTRIBUTE Lugar_Origen {'Internacional','Nacional'}
@ATTRIBUTE Edad NUMERIC
@ATTRIBUTE Tiempo_Estancia NUMERIC
@ATTRIBUTE Presupuesto_Promedio NUMERIC
@ATTRIBUTE Motivo_Viaje {'Negocios','Otro','Vacaciones'}
@ATTRIBUTE Uso_Tour_Guiado {'No','Si'}
@ATTRIBUTE Satisfaccion_Visita {'Alta','Baja','Media'}
@ATTRIBUTE Nivel_Gasto_Total NUMERIC
@ATTRIBUTE Cantidad_Actividades NUMERIC
@ATTRIBUTE Recomendar_Cartagena {'No','Si'}

@DATA
Internacional,26.0,9.0,184.0,Vacaciones,No,Baja,1656.0,4.0,Si
Nacional,51.0,4.0,134.0,Vacaciones,Si,Alta,536.0,7.0,Si
Nacional,39.0,4.0,123.0,Negocios,Si,Media,492.0,8.0,Si
Internacional,42.0,8.0,189.0,Vacaciones,Si,Media,1512.0,6.0,No
Internacional,34.0,5.0,170.0,Vacaciones,No,Alta,850.0,4.0,Si
Nacional,45.0,5.0,77.0,Negocios,Si,Alta,385.0,7.0,Si
Internacional,35.0,7.0,168.0,Vacaciones,Si,Alta,1176.0,3.0,Si
Nacional,56.0,4.0,144.0,Vacaciones,No,Baja,576.0,5.0,No
Nacional,44.0,4.0,101.0,Negocios,Si,Baja,404.0,3.0,Si
Nacional,52.0,5.0,100.0,Vacaciones,Si,Baja,500.0,6.0,Si
Nacional,42.0,5.0,103.0,Vacaciones,Si,Alta,515.0,10.0,Si
Internacional,34.0,6.0,240.0,Vacaciones,Si,Media,1440.0,5.0,Si
Nacional,31.0,2.0,119.0,Negocios,Si,Baja,238.0,6.0,Si
Nacional,44.0,5.0,110.0,Vacaciones,Si,Media,550.0,9.0,No
Nacional,53.0,5.0,98.0,Vacaciones,Si,Media,490.0,7.0,Si
Nacional,41.0,4.0,120.0,Vacaciones,Si,Baja,480.0,4.0,Si
Nacional,52.0,5.0,144.0,Negocios,Si,Baja,720.0,9.0,No
Internacional,49.0,7.0,174.0,Vacaciones,Si,Media,1218.0,7.0,Si
Internacional,48.0,6.0,193.0,Vacaciones,Si,Alta,1158.0,5.0,Si
Internacional,40.0,8.0,209.0,Vacaciones,Si,Alta,1672.0,10.0,Si
Internacional,54.0,8.0,182.0,Negocios,Si,Baja,1456.0,4.0,No
Internacional,46.0,13.0,211.0,Vacaciones,Si,Media,2743.0,6.0,Si
Nacional,51.0,4.0,92.0,Vacaciones,Si,Baja,368.0,9.0,No
Internacional,45.0,6.0,213.0,Vacaciones,Si,Media,1278.0,9.0,No
Internacional,45.0,10.0,172.0,Vacaciones,Si,Alta,1720.0,9.0,Si
Internacional,58.0,5.0,219.0,Vacaciones,Si,Baja,1095.0,8.0,Si
Internacional,60.0,11.0,187.0,Vacaciones,Si,Alta,2057.0,6.0,No
Internacional,28.0,10.0,232.0,Vacaciones,Si,Baja,2320.0,10.0,No
Internacional,34.0,7.0,226.0,Vacaciones,No,Media,1582.0,3.0,No
Internacional,34.0,8.0,197.0,Vacaciones,No,Media,1576.0,6.0,Si
Nacional,47.0,5.0,107.0,Negocios,Si,Alta,535.0,6.0,Si
Internacional,36.0,6.0,168.0,Vacaciones,Si,Baja,1008.0,3.0,No
Internacional,52.0,7.0,140.0,Vacaciones,Si,Alta,980.0,6.0,Si
Nacional,28.0,4.0,98.0,Negocios,No,Baja,392.0,4.0,No
Internacional,36.0,8.0,259.0,Vacaciones,No,Alta,2072.0,5.0,No
Internacional,31.0,8.0,207.0,Vacaciones,Si,Alta,1656.0,3.0,Si
Nacional,29.0,4.0,126.0,Vacaciones,Si,Media,504.0,10.0,Si
Internacional,25.0,7.0,210.0,Negocios,Si,Alta,1470.0,4.0,Si
Nacional,57.0,3.0,139.0,Vacaciones,Si,Baja,417.0,3.0,Si
Internacional,28.0,5.0,218.0,Vacaciones,Si,Baja,1090.0,6.0,No
Nacional,38.0,5.0,150.0,Vacaciones,Si,Media,750.0,10.0,No
Nacional,44.0,4.0,131.0,Vacaciones,No,Baja,524.0,6.0,No
Nacional,43.0,3.0,140.0,Vacaciones,Si,Alta,420.0,3.0,Si
Internacional,51.0,7.0,242.0,Vacaciones,No,Media,1694.0,6.0,No
Nacional,53.0,4.0,135.0,Vacaciones,Si,Media,540.0,10.0,No
Nacional,40.0,3.0,107.0,Vacaciones,Si,Media,321.0,5.0,Si
Nacional,51.0,3.0,91.0,Vacaciones,Si,Media,273.0,7.0,Si
Nacional,55.0,4.0,118.0,Vacaciones,Si,Alta,472.0,8.0,Si
Internacional,38.0,5.0,195.0,Vacaciones,Si,Media,975.0,8.0,Si
Nacional,37.0,4.0,129.0,Vacaciones,Si,Baja,516.0,7.0,Si
Nacional,41.0,2.0,155.0,Vacaciones,Si,Media,310.0,8.0,Si
Internacional,44.0,9.0,190.0,Vacaciones,No,Media,1710.0,4.0,Si
Nacional,60.0,3.0,139.0,Vacaciones,Si,Baja,417.0,5.0,No
Internacional,49.0,8.0,208.0,Vacaciones,Si,Alta,1664.0,9.0,Si
Nacional,52.0,4.0,102.0,Vacaciones,Si,Baja,408.0,7.0,No
Nacional,33.0,3.0,163.0,Vacaciones,No,Baja,489.0,6.0,No
Internacional,45.0,7.0,249.0,Negocios,No,Alta,1743.0,5.0,Si
Nacional,31.0,4.0,92.0,Vacaciones,Si,Baja,368.0,10.0,Si
Internacional,28.0,8.0,146.0,Vacaciones,Si,Baja,1168.0,10.0,Si
Internacional,50.0,9.0,185.0,Vacaciones,Si,Baja,1665.0,4.0,Si
Nacional,36.0,5.0,124.0,Vacaciones,No,Alta,620.0,5.0,Si
Nacional,53.0,4.0,105.0,Vacaciones,Si,Baja,420.0,3.0,No
Internacional,58.0,9.0,159.0,Vacaciones,Si,Media,1431.0,3.0,No
Internacional,49.0,8.0,196.0,Vacaciones,No,Alta,1568.0,4.0,Si
Nacional,29.0,4.0,96.0,Vacaciones,No,Media,384.0,5.0,No
Nacional,59.0,5.0,117.0,Vacaciones,Si,Alta,585.0,10.0,Si
Nacional,39.0,5.0,94.0,Vacaciones,No,Baja,470.0,4.0,Si
Internacional,30.0,6.0,173.0,Vacaciones,Si,Media,1038.0,7.0,Si
Nacional,25.0,4.0,97.0,Vacaciones,Si,Baja,388.0,9.0,No
Internacional,27.0,7.0,179.0,Vacaciones,No,Media,1253.0,6.0,No
Nacional,46.0,6.0,82.0,Vacaciones,Si,Media,492.0,7.0,Si
Internacional,35.0,7.0,208.0,Vacaciones,Si,Alta,1456.0,9.0,Si
Nacional,29.0,4.0,113.0,Vacaciones,Si,Baja,452.0,7.0,Si
Internacional,33.0,9.0,208.0,Negocios,Si,Alta,1872.0,10.0,Si
Nacional,57.0,3.0,121.0,Negocios,Si,Baja,363.0,6.0,Si
Nacional,55.0,4.0,106.0,Vacaciones,No,Baja,424.0,5.0,Si
Nacional,54.0,6.0,146.0,Vacaciones,Si,Media,876.0,10.0,No
Internacional,32.0,11.0,213.0,Vacaciones,Si,Media,2343.0,10.0,No
Internacional,37.0,8.0,214.0,Negocios,Si,Baja,1712.0,9.0,No
Internacional,47.0,7.0,140.0,Otro,Si,Media,980.0,10.0,No
Nacional,45.0,3.0,119.0,Negocios,Si,Baja,357.0,9.0,Si
Internacional,57.0,8.0,171.0,Vacaciones,Si,Alta,1368.0,4.0,Si
Internacional,48.0,6.0,197.0,Vacaciones,Si,Baja,1182.0,6.0,Si
Nacional,54.0,1.0,134.0,Vacaciones,Si,Baja,134.0,8.0,Si
Nacional,47.0,3.0,109.0,Vacaciones,Si,Alta,327.0,7.0,Si
Nacional,33.0,4.0,135.0,Vacaciones,Si,Baja,540.0,10.0,No
Nacional,33.0,3.0,138.0,Vacaciones,No,Alta,414.0,5.0,No
Nacional,30.0,4.0,116.0,Vacaciones,Si,Alta,464.0,5.0,Si
Internacional,56.0,7.0,198.0,Vacaciones,Si,Alta,1386.0,9.0,Si
Nacional,39.0,2.0,132.0,Vacaciones,Si,Media,264.0,8.0,No
Internacional,39.0,5.0,190.0,Vacaciones,No,Alta,950.0,3.0,Si
Nacional,48.0,5.0,152.0,Vacaciones,Si,Baja,760.0,7.0,Si
Internacional,44.0,8.0,158.0,Vacaciones,Si,Alta,1264.0,4.0,Si
Internacional,45.0,6.0,212.0,Vacaciones,Si,Media,1272.0,7.0,Si
Nacional,32.0,4.0,113.0,Vacaciones,Si,Alta,452.0,7.0,Si
Nacional,32.0,4.0,118.0,Vacaciones,Si,Baja,472.0,6.0,No
Nacional,27.0,3.0,136.0,Negocios,Si,Baja,408.0,9.0,No
Internacional,40.0,6.0,188.0,Negocios,Si,Alta,1128.0,5.0,Si
Internacional,27.0,7.0,179.0,Vacaciones,Si,Media,1253.0,6.0,Si
Internacional,25.0,9.0,200.0,Otro,No,Media,1800.0,6.0,Si
Internacional,37.0,7.0,202.0,Vacaciones,Si,Baja,1414.0,6.0,Si
Nacional,33.0,4.0,111.0,Vacaciones,Si,Baja,444.0,6.0,No
Internacional,51.0,7.0,213.0,Vacaciones,No,Alta,1491.0,3.0,Si
Nacional,33.0,3.0,117.0,Vacaciones,Si,Baja,351.0,5.0,No
Internacional,51.0,8.0,218.0,Vacaciones,Si,Alta,1744.0,6.0,Si
Internacional,34.0,7.0,226.0,Vacaciones,Si,Media,1582.0,4.0,No
Internacional,32.0,6.0,232.0,Negocios,No,Alta,1392.0,4.0,Si
Internacional,45.0,8.0,204.0,Otro,Si,Alta,1632.0,4.0,Si
Internacional,48.0,6.0,226.0,Vacaciones,No,Media,1356.0,5.0,No
Internacional,40.0,7.0,229.0,Vacaciones,Si,Baja,1603.0,5.0,No
Internacional,60.0,7.0,204.0,Negocios,Si,Alta,1428.0,8.0,Si
Internacional,55.0,5.0,198.0,Vacaciones,No,Baja,990.0,6.0,No
Internacional,53.0,10.0,225.0,Negocios,Si,Alta,2250.0,6.0,No
Internacional,41.0,5.0,221.0,Vacaciones,Si,Alta,1105.0,10.0,Si
Internacional,27.0,5.0,175.0,Vacaciones,Si,Media,875.0,4.0,Si
Internacional,41.0,7.0,177.0,Vacaciones,No,Media,1239.0,5.0,No
Nacional,51.0,5.0,93.0,Vacaciones,Si,Alta,465.0,8.0,Si
Nacional,44.0,4.0,122.0,Vacaciones,Si,Alta,488.0,9.0,Si
Nacional,47.0,3.0,87.0,Vacaciones,No,Baja,261.0,6.0,No
Nacional,46.0,2.0,135.0,Vacaciones,No,Baja,270.0,4.0,No
Nacional,55.0,4.0,122.0,Vacaciones,Si,Baja,488.0,9.0,No
Internacional,46.0,8.0,182.0,Vacaciones,Si,Media,1456.0,7.0,Si
Nacional,34.0,3.0,140.0,Vacaciones,Si,Baja,420.0,4.0,No
Nacional,56.0,3.0,103.0,Vacaciones,Si,Media,309.0,10.0,No
Nacional,29.0,5.0,67.0,Vacaciones,Si,Media,335.0,3.0,No
Internacional,38.0,7.0,204.0,Vacaciones,Si,Alta,1428.0,5.0,No
Internacional,29.0,7.0,210.0,Vacaciones,Si,Media,1470.0,8.0,Si
Nacional,43.0,5.0,107.0,Vacaciones,No,Baja,535.0,6.0,No
Nacional,46.0,2.0,146.0,Vacaciones,Si,Baja,292.0,10.0,Si
Nacional,49.0,4.0,127.0,Negocios,Si,Alta,508.0,6.0,Si
Nacional,42.0,3.0,87.0,Vacaciones,Si,Baja,261.0,10.0,No
Nacional,27.0,3.0,95.0,Vacaciones,Si,Baja,285.0,4.0,No
Nacional,42.0,3.0,125.0,Negocios,No,Baja,375.0,6.0,Si
Internacional,47.0,5.0,231.0,Negocios,No,Alta,1155.0,4.0,Si
Internacional,48.0,8.0,222.0,Otro,Si,Alta,1776.0,3.0,Si
Internacional,43.0,9.0,230.0,Vacaciones,Si,Alta,2070.0,5.0,Si
Internacional,36.0,8.0,191.0,Vacaciones,Si,Media,1528.0,7.0,No
Internacional,31.0,7.0,210.0,Vacaciones,Si,Alta,1470.0,7.0,Si
Internacional,45.0,8.0,158.0,Vacaciones,Si,Media,1264.0,8.0,No
Internacional,55.0,7.0,211.0,Vacaciones,Si,Alta,1477.0,8.0,Si
Internacional,44.0,5.0,187.0,Negocios,Si,Alta,935.0,6.0,Si
Nacional,34.0,3.0,82.0,Vacaciones,No,Alta,246.0,6.0,Si
Nacional,28.0,6.0,115.0,Negocios,Si,Baja,690.0,6.0,No
Nacional,37.0,3.0,109.0,Vacaciones,Si,Media,327.0,4.0,No
Nacional,42.0,5.0,102.0,Negocios,Si,Baja,510.0,4.0,Si
Nacional,36.0,3.0,104.0,Vacaciones,No,Media,312.0,4.0,No
Nacional,25.0,5.0,67.0,Vacaciones,Si,Media,335.0,6.0,Si
Internacional,28.0,4.0,184.0,Vacaciones,Si,Media,736.0,9.0,Si
Internacional,32.0,6.0,217.0,Vacaciones,Si,Alta,1302.0,4.0,Si
Nacional,45.0,5.0,148.0,Vacaciones,Si,Media,740.0,7.0,Si
Nacional,32.0,4.0,111.0,Vacaciones,No,Media,444.0,4.0,Si
Nacional,32.0,4.0,113.0,Negocios,Si,Alta,452.0,6.0,Si
Internacional,25.0,5.0,162.0,Negocios,Si,Media,810.0,5.0,No
Nacional,40.0,5.0,113.0,Vacaciones,Si,Media,565.0,4.0,No
Nacional,51.0,3.0,78.0,Vacaciones,Si,Alta,234.0,4.0,Si
Nacional,26.0,3.0,80.0,Vacaciones,Si,Alta,240.0,10.0,Si
Nacional,30.0,4.0,84.0,Negocios,Si,Baja,336.0,10.0,No
Internacional,55.0,10.0,212.0,Negocios,No,Alta,2120.0,6.0,Si
Internacional,25.0,9.0,275.0,Vacaciones,Si,Alta,2475.0,6.0,Si
Internacional,57.0,5.0,216.0,Vacaciones,Si,Alta,1080.0,8.0,Si
Internacional,56.0,7.0,174.0,Vacaciones,No,Alta,1218.0,3.0,Si
Nacional,28.0,5.0,135.0,Vacaciones,No,Baja,675.0,5.0,Si
Internacional,56.0,6.0,208.0,Vacaciones,Si,Media,1248.0,9.0,No
Nacional,60.0,4.0,145.0,Vacaciones,No,Media,580.0,4.0,No
Internacional,53.0,5.0,234.0,Vacaciones,Si,Alta,1170.0,3.0,Si
Internacional,58.0,10.0,202.0,Vacaciones,Si,Media,2020.0,7.0,No
Nacional,50.0,5.0,86.0,Vacaciones,No,Alta,430.0,5.0,Si
Internacional,29.0,5.0,195.0,Vacaciones,No,Media,975.0,4.0,No
Nacional,50.0,3.0,145.0,Negocios,Si,Media,435.0,9.0,Si
Nacional,58.0,4.0,125.0,Vacaciones,Si,Media,500.0,9.0,No
Internacional,30.0,7.0,210.0,Vacaciones,Si,Media,1470.0,6.0,No
Nacional,40.0,4.0,143.0,Otro,Si,Alta,572.0,10.0,Si
Nacional,59.0,3.0,124.0,Vacaciones,Si,Baja,372.0,8.0,No
Internacional,49.0,9.0,197.0,Vacaciones,Si,Baja,1773.0,6.0,Si
Nacional,57.0,4.0,137.0,Vacaciones,No,Media,548.0,3.0,No
Nacional,39.0,4.0,145.0,Vacaciones,Si,Alta,580.0,7.0,Si
Nacional,51.0,4.0,109.0,Vacaciones,Si,Baja,436.0,10.0,No
Internacional,35.0,5.0,238.0,Vacaciones,Si,Media,1190.0,5.0,No
Internacional,36.0,6.0,245.0,Vacaciones,Si,Baja,1470.0,9.0,No
Internacional,30.0,8.0,189.0,Negocios,No,Baja,1512.0,6.0,No
Nacional,27.0,4.0,116.0,Vacaciones,Si,Alta,464.0,7.0,Si
Internacional,59.0,6.0,246.0,Vacaciones,No,Baja,1476.0,3.0,No
Internacional,52.0,8.0,210.0,Vacaciones,Si,Media,1680.0,6.0,Si
Nacional,41.0,3.0,128.0,Vacaciones,No,Alta,384.0,5.0,Si
Internacional,31.0,7.0,177.0,Vacaciones,Si,Media,1239.0,7.0,No
Internacional,53.0,8.0,197.0,Vacaciones,Si,Alta,1576.0,6.0,No
Internacional,40.0,7.0,212.0,Vacaciones,No,Alta,1484.0,5.0,Si
Internacional,39.0,6.0,198.0,Negocios,Si,Media,1188.0,9.0,No
Nacional,58.0,5.0,101.0,Vacaciones,Si,Alta,505.0,7.0,Si
Internacional,46.0,7.0,190.0,Vacaciones,No,Media,1330.0,3.0,Si
Internacional,45.0,7.0,204.0,Negocios,Si,Alta,1428.0,4.0,Si
Internacional,50.0,6.0,246.0,Vacaciones,Si,Baja,1476.0,9.0,No
Internacional,25.0,9.0,166.0,Vacaciones,No,Alta,1494.0,4.0,Si
Nacional,53.0,4.0,146.0,Vacaciones,No,Baja,584.0,6.0,Si
Nacional,36.0,4.0,132.0,Vacaciones,Si,Baja,528.0,10.0,No
Nacional,28.0,5.0,106.0,Vacaciones,Si,Media,530.0,10.0,No
Internacional,35.0,8.0,300.0,Negocios,Si,Media,2400.0,9.0,No
Internacional,36.0,8.0,218.0,Otro,No,Alta,1744.0,6.0,Si
Internacional,55.0,9.0,194.0,Vacaciones,Si,Alta,1746.0,3.0,Si
Nacional,30.0,4.0,153.0,Otro,Si,Baja,612.0,4.0,No
Internacional,35.0,8.0,179.0,Vacaciones,Si,Media,1432.0,4.0,Si
Internacional,26.0,7.0,246.0,Vacaciones,Si,Media,1722.0,9.0,Si
Internacional,54.0,4.0,187.0,Vacaciones,Si,Baja,748.0,8.0,No
Internacional,46.0,7.0,200.0,Vacaciones,No,Media,1400.0,4.0,Si
Nacional,43.0,4.0,119.0,Vacaciones,Si,Baja,476.0,9.0,No
Internacional,51.0,6.0,226.0,Vacaciones,Si,Media,1356.0,5.0,No
Nacional,49.0,5.0,102.0,Vacaciones,Si,Baja,510.0,7.0,Si
Internacional,25.0,7.0,148.0,Vacaciones,Si,Media,1036.0,6.0,Si
Internacional,56.0,6.0,208.0,Vacaciones,Si,Media,1248.0,6.0,No
Nacional,27.0,5.0,122.0,Vacaciones,Si,Baja,610.0,6.0,Si
Nacional,45.0,3.0,147.0,Otro,Si,Baja,441.0,4.0,Si
Nacional,33.0,4.0,124.0,Vacaciones,Si,Alta,496.0,6.0,Si
Nacional,34.0,4.0,134.0,Vacaciones,No,Baja,536.0,6.0,Si
Internacional,53.0,7.0,191.0,Otro,Si,Alta,1337.0,10.0,Si
Nacional,48.0,4.0,102.0,Negocios,Si,Alta,408.0,3.0,Si
Nacional,52.0,3.0,141.0,Vacaciones,Si,Alta,423.0,3.0,Si
Nacional,45.0,5.0,134.0,Otro,Si,Media,670.0,7.0,No
Nacional,57.0,5.0,165.0,Vacaciones,Si,Baja,825.0,10.0,Si
Nacional,43.0,3.0,105.0,Vacaciones,Si,Media,315.0,7.0,Si
Internacional,27.0,7.0,188.0,Vacaciones,No,Alta,1316.0,6.0,Si
Nacional,41.0,4.0,115.0,Negocios,No,Baja,460.0,4.0,No
Internacional,59.0,7.0,173.0,Vacaciones,Si,Alta,1211.0,5.0,Si
Internacional,58.0,9.0,188.0,Vacaciones,Si,Baja,1692.0,6.0,Si
Nacional,53.0,5.0,137.0,Vacaciones,Si,Alta,685.0,10.0,Si
Internacional,56.0,7.0,197.0,Vacaciones,Si,Alta,1379.0,5.0,Si
Nacional,37.0,3.0,112.0,Vacaciones,Si,Alta,336.0,4.0,Si
Nacional,29.0,5.0,121.0,Vacaciones,Si,Media,605.0,7.0,Si
Nacional,50.0,3.0,105.0,Vacaciones,Si,Baja,315.0,5.0,No
Internacional,51.0,10.0,180.0,Vacaciones,Si,Alta,1800.0,3.0,No
Internacional,32.0,7.0,196.0,Otro,Si,Alta,1372.0,8.0,Si
Internacional,34.0,6.0,240.0,Vacaciones,No,Baja,1440.0,4.0,No
Nacional,48.0,2.0,134.0,Vacaciones,Si,Media,268.0,4.0,No
Nacional,39.0,3.0,106.0,Negocios,Si,Media,318.0,5.0,No
Nacional,55.0,2.0,142.0,Vacaciones,Si,Baja,284.0,3.0,No
